reason,product_id,brand,product_title,size,sku,price,slug,url
missing_size,4061,Skinfood,"Skinfood Tomato Jelly Tint Lip #3 Orange Tomato",,KO002SF007,550,skinfood-tomato-jelly-tint-lip-3-orange-tomato,https://e-mart.com.bd/product/skinfood-tomato-jelly-tint-lip-3-orange-tomato/
missing_size,4062,Skinfood,"Skinfood Tomato Jelly Tint Lip #4 Milk Tomato",,KO002SF006,550,skinfood-tomato-jelly-tint-lip-4-milk-tomato,https://e-mart.com.bd/product/skinfood-tomato-jelly-tint-lip-4-milk-tomato/
missing_size,4064,innisfree,"innisfree green tea seed hyaluronic cream",,KO003INI008,2200,innisfree-the-green-tea-seed-cream-50ml,https://e-mart.com.bd/product/innisfree-the-green-tea-seed-cream-50ml/
missing_size,4147,Jumiso,"Jumiso Let's Go! Kit",,EM-JUMI-LEGOKI-4147,1700,jumiso-lets-go-kit,https://e-mart.com.bd/product/jumiso-lets-go-kit/
missing_size,4260,Cosrx,"Cosrx Honey Glow Kit Propolis Trial Kit 3 Step",,KO005CR023,1800,cosrx-honey-glow-kit-propolis-trial-kit-3-step,https://e-mart.com.bd/product/cosrx-honey-glow-kit-propolis-trial-kit-3-step/
missing_size,4261,Cosrx,"Cosrx CICA-7 Relief Kit 3 Step",,KO005CR022,1800,cosrx-cica-7-relief-kit-3-step,https://e-mart.com.bd/product/cosrx-cica-7-relief-kit-3-step/
missing_size,18095,Cosrx,"Cosrx Acne Pimple Master Patch 24 Patch",,KO005CR01714,350,cosrx-acne-pimple-master-patch-24-patch,https://e-mart.com.bd/product/cosrx-acne-pimple-master-patch-24-patch/
missing_size,26253,CeraVe,"CeraVe Ultra-Light Moisturizing Lotion Spf30",,UK001CV002,2700,cerave-ultra-light-moisturizing-lotion-spf30,https://e-mart.com.bd/product/cerave-ultra-light-moisturizing-lotion-spf30/
missing_size,26291,innisfree,"Innisfree Intensive Long-Lasting Sunscreen Ex SPF50+ PA++++",,KO003INI0150,1600,innisfree-intensive-long-lasting-sunscreen-spf50-pa-2,https://e-mart.com.bd/product/innisfree-intensive-long-lasting-sunscreen-spf50-pa-2/
missing_size,26544,Skinfood,"SKINFOOD Yuja C Dark Spot Clear Cream",,KO002SF030,2200,skinfood-yuja-c-dark-spot-clear-cream-2,https://e-mart.com.bd/product/skinfood-yuja-c-dark-spot-clear-cream-2/
missing_size,26545,Skinfood,"SKINFOOD Yuja C Dark Spot Clear Essence",,KO002SF029,2700,skinfood-yuja-c-dark-spot-clear-essence-2,https://e-mart.com.bd/product/skinfood-yuja-c-dark-spot-clear-essence-2/
missing_size,26568,Skinfood,"Skinfood Avocado Stick Lip Balm (Rich)",,KO002SF051,700,skinfood-avocado-stick-lip-balm-rich,https://e-mart.com.bd/product/skinfood-avocado-stick-lip-balm-rich/
missing_size,26652,Rovectin,"Rovectin Travel Kit 4 Step",,KO057ROV001,1900,rovectin-travel-kit-4-step-2,https://e-mart.com.bd/product/rovectin-travel-kit-4-step-2/
missing_size,26940,"Thank You Farmer","Thank you Farmer Safe Sun Fluid AGE 0880 SPF50+ PA++++",,KO060TYF004,1800,thank-you-farmer-safe-sun-fluid-age-0880-spf50-pa-2,https://e-mart.com.bd/product/thank-you-farmer-safe-sun-fluid-age-0880-spf50-pa-2/
missing_size,27142,Skylake,"Skylake Oriental Herb Houttuynia Cordata Hair Tonic",,EM-SKYL-ORHEHO-7142,1900,skylake-oriental-herb-houttuynia-cordata-hair-tonic-2,https://e-mart.com.bd/product/skylake-oriental-herb-houttuynia-cordata-hair-tonic-2/
missing_size,27145,Heeyul,"Heeyul Premium 24K Gold Ampoule Cream",,EM-HEEY-PR24GO-7145,1600,heeyul-premium-24k-gold-ampoule-cream-2,https://e-mart.com.bd/product/heeyul-premium-24k-gold-ampoule-cream-2/
missing_size,31919,Technic,"Technic Almond 24 False Nails With Glue - Gloss Purple",,EM-TECH-AL24FA-1919,450,technic-almond-24-false-nails-with-glue-gloss-purple,https://e-mart.com.bd/product/technic-almond-24-false-nails-with-glue-gloss-purple/
missing_size,31924,Technic,"Technic Stiletto 24 False Nails With Glue - Gloss Red",,EM-TECH-ST24FA-1924,450,technic-stiletto-24-false-nails-with-glue-gloss-red,https://e-mart.com.bd/product/technic-stiletto-24-false-nails-with-glue-gloss-red/
missing_size,31925,Technic,"Technic Squareletto 24 False Nails With Glue - Rose Gold Glitter",,EM-TECH-SQ24FA-1925,550,technic-squareletto-24-false-nails-with-glue-rose-gold-glitter,https://e-mart.com.bd/product/technic-squareletto-24-false-nails-with-glue-rose-gold-glitter/
missing_size,36059,M.A.C,"M.A.C Amplified Lipstick",,EM-MAC-AMLI-6059,2350,m-a-c-amplified-lipstick,https://e-mart.com.bd/product/m-a-c-amplified-lipstick/
missing_size,36063,M.A.C,"M.A.C Matte Lipstick - Kinda Sexy",,EM-MAC-MALIKI-6063,2350,m-a-c-matte-lipstick-kinda-sexy,https://e-mart.com.bd/product/m-a-c-matte-lipstick-kinda-sexy/
missing_size,36094,M.A.C,"M.A.C Studio Fix Fluid SPF 15 Foundation- NC 35",,EM-MAC-STFIFL-6094,3850,m-a-c-studio-fix-fluid-spf-15-foundation-nc-35,https://e-mart.com.bd/product/m-a-c-studio-fix-fluid-spf-15-foundation-nc-35/
missing_size,36120,M.A.C,"M.A.C Satin Lipstick - Retro",,EM-MAC-SALIRE-6120,1900,m-a-c-satin-lipstick-retro,https://e-mart.com.bd/product/m-a-c-satin-lipstick-retro/
missing_size,36128,M.A.C,"M.A.C Matte Lipstick",,EM-MAC-MALI-6128,1900-2350,m-a-c-matte-lipstick,https://e-mart.com.bd/product/m-a-c-matte-lipstick/
missing_size,36217,Bioderma,"Bioderma Photoderm AR Sun Active Defense SPF50+PA++++",,EM-BIOD-PHARSU-6217,2450,bioderma-photoderm-ar-tinted-cream-spf50-30ml,https://e-mart.com.bd/product/bioderma-photoderm-ar-tinted-cream-spf50-30ml/
